Transaction ID,Date,Item,Quantity,Price
1,2024-02-23,Cereal,2,$3.98
2,2024-03-10,Bread,4,$2.88
3,2024-03-07,Cereal,4,$5.36
4,2024-02-12,Milk,2,$5.71
5,2024-02-18,Apples,1,$9.01
6,2024-02-14,Chips,3,$3.32
7,2024-02-27,Cereal,1,$6.30
8,2024-02-29,Bread,2,$8.39
9,2024-02-19,Toilet Paper,2,$2.72
10,2024-02-11,Apples,2,$9.47
11,2024-03-03,Chips,5,$8.70
12,2024-02-27,Apples,1,$1.39
13,2024-03-08,Milk,4,$9.34
14,2024-02-20,Milk,1,$9.99
15,2024-03-07,Diapers,1,$3.41
16,2024-02-19,Cereal,5,$2.34
17,2024-02-27,Toilet Paper,1,$1.07
18,2024-03-03,Diapers,3,$5.66
19,2024-02-14,Cereal,1,$8.49
20,2024-02-23,Bread,2,$5.51
